Close,High,Low,Open,Volume
149.5511474609375,151.82471551446696,144.47022446019002,147.25782013671002,382679700
146.40773010253906,150.08497628751917,145.24128433593665,148.43417188414932,204025500
146.1111602783203,147.41599624952062,138.7369093807399,143.47184942757124,401088500
140.526123046875,149.18543673740834,138.39094484918206,146.07164651166815,341500000
132.9640350341797,148.24635574103854,132.1930009902241,141.05990757912886,505728900
130.34446716308594,135.237571301498,128.1499815353403,133.55711327501666,384620400
128.43666076660156,129.8996614569518,124.42333375477317,129.87000746436226,307184100
128.13023376464844,129.39552113533148,122.74287526055683,128.78265180736742,369948500
133.21115112304688,133.36931580754018,126.64746755071987,128.97046421854492,333335200
136.28543090820312,137.0169313875103,132.23256198252932,133.28037680193077,271823400
144.25274658203125,145.5378080511819,136.3150405784581,136.5325132155488,338655600
